Date,Max Temperature,Min Temperature,Avg Temperature,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2024-03-01,80,55,67.5,4.9,0,3,0.00,M,M
2024-03-02,80,53,66.5,3.7,0,2,0.00,M,M
2024-03-03,74,54,64.0,0.9,1,0,0.00,0.0,0
2024-03-04,75,53,64.0,0.7,1,0,0.00,0.0,0
2024-03-05,77,53,65.0,1.4,0,0,0.00,0.0,0
2024-03-06,76,57,66.5,2.7,0,2,0.00,0.0,0
2024-03-07,65,53,59.0,-5.1,6,0,0.20,0.0,0
2024-03-08,71,53,62.0,-2.3,3,0,0.05,0.0,0
2024-03-09,76,51,63.5,-1.1,1,0,0.00,0.0,0
2024-03-10,81,53,67.0,2.1,0,2,0.00,0.0,0
2024-03-11,82,57,69.5,4.4,0,5,0.00,0.0,0
2024-03-12,78,55,66.5,1.1,0,2,0.00,0.0,0
2024-03-13,77,54,65.5,-0.1,0,1,0.00,0.0,0
2024-03-14,73,54,63.5,-2.4,1,0,0.01,0.0,0
2024-03-15,63,50,56.5,-9.6,8,0,0.18,0.0,0
2024-03-16,69,46,57.5,-8.9,7,0,0.00,0.0,0
2024-03-17,69,52,60.5,-6.1,4,0,0.01,0.0,0
2024-03-18,81,51,66.0,-0.9,0,1,0.00,0.0,0
2024-03-19,80,54,67.0,-0.1,0,2,0.00,0.0,0
2024-03-20,80,54,67.0,-0.4,0,2,0.02,0.0,0
2024-03-21,83,56,69.5,1.9,0,5,0.00,0.0,0
2024-03-22,86,60,73.0,5.2,0,8,0.00,0.0,0
2024-03-23,83,62,72.5,4.5,0,8,T,0.0,0
2024-03-24,67,53,60.0,-8.3,5,0,0.37,0.0,0
2024-03-25,71,49,60.0,-8.5,5,0,T,0.0,0
2024-03-26,73,55,64.0,-4.7,1,0,T,0.0,0
2024-03-27,78,51,64.5,-4.4,0,0,0.00,0.0,0
2024-03-28,82,55,68.5,-0.6,0,4,0.00,0.0,0
2024-03-29,86,56,71.0,1.7,0,6,0.00,0.0,0
2024-03-30,87,59,73.0,3.4,0,8,0.00,0.0,M
2024-03-31,65,51,58.0,-11.8,7,0,0.50,0.0,M